employee_id,fullname,nip,company_id,area_id,position_id,department_id,division_id,directorate_id,grade_id,education_id,major_id,years_of_service_months
100000,Rendra Pratama,806137,10,40,10,60,30,30,20,30,10,64
100001,Wulan Setiawan,476388,40,40,40,50,50,30,10,10,20,16
100002,Julia Jatmiko Situmorang,941921,10,30,50,10,10,30,10,30,10,58
100003,Oka Halim,751615,10,30,40,20,10,10,20,20,50,15
100004,Dwi Pratama,443809,30,40,60,50,30,30,10,10,50,34
100005,Bayu Zulfikar,590302,10,10,50,20,30,10,10,30,10,66
100006,Indra Santoso,826406,10,30,30,20,10,20,10,10,40,82
100007,Rani Mahendra,878510,40,30,40,30,20,20,30,20,10,56
100008,Gita Permadi,189647,20,40,30,10,50,10,10,40,10,40
100009,Julia Anggara,931718,10,20,50,60,40,10,30,30,20,77
100010,Maya Jatmiko Handayani,967930,20,30,40,30,20,20,30,10,40,29
100011,Fajar Halim,617452,40,10,30,50,20,30,30,20,10,51
100012,Rendra Tri Purnama,457211,10,20,20,30,20,10,20,40,60,3
100013,Maya Mahendra,656829,40,40,60,20,10,20,30,10,40,3
100014,Wahyu Indrawan,503585,30,30,60,10,30,10,20,40,20,65
100015,Zahra Utama Setiawan,155133,40,20,30,40,50,20,30,20,10,28
100016,Dinda Pramudita Ginting,658786,10,40,60,60,50,20,20,10,30,39
100017,Fajar Mahendra,583676,20,10,40,30,10,20,30,20,20,95
100018,Arif Ginting,588205,40,30,50,30,50,30,20,10,60,53
100019,Rizki Iqbal Gunawan,341900,30,40,40,20,10,20,10,30,60,27
100020,Yoga Erlangga Hartanto,850478,10,30,10,60,40,10,20,40,50,31
100021,Oka Candra Kurniawan,828497,30,30,10,40,30,20,30,20,60,81
100022,Oka Nugroho,674733,20,10,20,30,10,20,20,30,30,53
100023,Adit Kurniawan,555024,40,20,30,20,10,20,20,40,10,49
100024,Rendra Candra Maulida,884289,20,10,50,30,20,20,20,30,40,44
100025,Rizky Dharma Purnama,786831,10,30,10,20,50,30,30,20,20,20
100026,Wulan Yudhistira Tamba,926498,40,10,40,20,50,20,20,40,30,65
100027,Oka Rohman,176075,30,30,20,10,50,10,30,30,20,132
100028,Nadia Saputra,373327,30,10,30,30,40,10,20,40,50,22
100029,Satya Adi Hasibuan,491714,30,30,50,60,50,10,10,10,50,32
100030,Rizky Anugrah Permadi,276288,30,10,50,30,40,20,30,30,40,56
100031,Julia Nabila Kurniawan,379652,40,40,30,20,40,30,20,40,20,34
100032,Galih Mahardika Purnama,980623,20,10,30,60,30,30,10,40,20,34
100033,Ahmad Simanjuntak,846300,20,20,50,30,10,30,20,40,30,37
100034,Ari Adi Ginting,510070,10,40,60,50,50,20,10,40,10,86
100035,Oka Tamba,243414,30,40,10,50,40,30,30,20,40,57
100036,Ayunda Utama Lestari,515963,20,10,10,60,40,30,30,20,30,54
100037,Nabila Ramadhan,967856,10,10,60,40,20,10,20,20,60,52
100038,Bella Tri Setiawan,446315,30,30,60,50,30,20,30,40,20,50
100039,Budi Adi Permadi,476249,20,20,40,30,20,20,10,30,40,65
100040,Rifqi Putra,751135,30,10,40,20,20,30,20,40,20,81
100041,Lestari Maulana,135400,40,20,30,60,20,10,10,20,40,99
100042,Oka Lukman,191210,30,30,60,20,40,20,10,40,30,28
100043,Nugroho Indrawan,123837,20,20,30,40,20,20,10,10,30,40
100044,Indra Maulida,742065,40,40,50,30,10,20,10,20,60,8
100045,Dimas Mahendra,581488,20,30,20,30,40,10,30,10,50,38
100046,Fitri Lestari,117913,30,40,10,40,30,10,20,20,60,64
100047,Hadi Pradana,161695,30,20,20,20,50,10,10,30,50,58
100048,Adit Halim,557326,30,40,40,50,40,30,10,40,60,50
100049,Rizki Halim Siregar,453636,10,40,50,10,10,10,30,40,60,35
100050,Joko Ridwan,411437,40,30,40,30,50,30,10,20,20,69
100051,Ari Mahardika Nugroho,286318,40,40,50,10,40,30,10,30,50,98
100052,Sari Yudhistira Mahendra,740192,10,40,40,20,10,20,30,30,30,23
100053,Anisa Pamungkas,770602,10,30,10,30,30,10,30,30,50,52
100054,Nugroho Maulida,239182,20,40,40,30,50,10,10,20,30,22
100055,Putri Nugroho,153339,10,20,60,10,40,10,20,40,50,42
100056,Ayunda Ramadhan,401856,40,40,10,40,30,20,10,30,30,96
100057,Nurlita Kusuma,285929,30,20,60,20,40,30,30,10,40,60
100058,Adit Anugrah Halim,827158,30,30,20,40,10,20,30,20,40,66
100059,Fajar Dharma Subekti,404880,20,30,30,20,40,10,30,40,60,75
100060,Wulan Maulida,302930,10,40,30,40,10,30,20,20,20,44
100061,Oktavia Anugrah Setiawan,275683,40,30,60,40,10,10,30,10,50,46
100062,Valdo Jatmiko Mahendra,249908,30,30,40,60,30,20,20,30,20,40
100063,Ayu Lestari Pradana,461165,20,10,10,40,20,10,10,30,50,42
100064,Kurnia Purnama,551120,10,20,60,50,40,30,30,10,60,38
100065,Rani Saputra,240200,10,40,10,10,40,20,20,10,40,24
100066,Tania Lestari Setiawan,378824,10,40,30,10,20,10,10,10,10,65
100067,Indra Zulfikar,696462,10,30,30,10,20,10,30,10,10,89
100068,Nabila Qolbi Suharto,671201,40,10,30,20,50,20,10,40,10,68
100069,Anisa Permadi,252350,10,30,40,20,40,30,10,20,20,61
100070,Kartika Rachman Ramadhan,855424,30,40,60,20,40,30,10,10,50,47
100071,Rafa Situmorang,871247,20,30,40,30,40,30,10,20,40,72
100072,Nugroho Hartanto,161630,20,10,30,50,30,10,10,30,60,45
100073,Dimas Halim Ananda,972245,20,30,30,30,50,10,30,30,10,85
100074,Ari Utama Putra,100945,40,10,20,10,30,20,30,10,30,32
100075,Rizki Halim Zulfikar,290052,30,10,50,40,50,30,10,40,40,24
100076,Rizki Wijaya,458782,10,30,60,50,40,20,10,30,10,4
100077,Novi Setiawan,115692,30,40,30,30,10,30,10,30,50,35
100078,Indra Anggara,811320,10,10,60,30,10,30,30,40,10,39
100079,Novi Hasibuan,298849,40,40,30,30,40,10,10,10,50,67
100080,Andi Mahardika Handayani,274945,20,10,20,30,30,30,20,40,20,43
100081,Ari Yulianto,447230,10,40,60,10,30,30,30,30,30,85
100082,Budi Dharma Lukman,247239,30,40,10,30,20,30,30,40,10,63
100083,Rizka Erlangga Subekti,286153,10,30,60,60,10,30,20,40,10,19
100084,Dian Rachman Handayani,735572,10,30,60,20,10,30,20,10,20,16
100085,Ahmad Rohman,540638,20,40,20,30,40,20,30,20,10,22
100086,Rani Syahputra,503804,30,30,40,60,50,10,30,30,30,23
100087,Rizka Ananda,649357,20,10,10,60,20,20,30,30,30,12
100088,Nadia Saputra Mahendra,192144,20,40,30,20,40,10,10,30,60,38
100089,Umar Simanjuntak,179520,10,20,50,40,30,30,30,20,40,56
100090,Maya Pratomo,304860,20,40,60,50,40,20,20,20,50,27
100091,Oka Candra Firmansyah,109937,40,10,30,30,10,10,20,30,10,10
100092,Ahmad Indrawan,810984,20,10,20,40,10,30,30,20,20,68
100093,Nadia Lestari Utami,218189,10,10,20,50,30,30,20,20,60,57
100094,Nadia Utama Yulianto,838236,40,10,10,30,30,30,10,20,40,33
100095,Fitri Pamungkas,186709,20,40,30,40,50,20,20,30,50,41
100096,Rama Dharma Wibowo,349891,40,30,20,60,20,10,20,30,40,77
100097,Valdo Subekti,922054,10,10,60,20,10,30,10,20,30,64
100098,Indra Hidayat,843650,30,40,30,30,10,10,30,20,10,57
100099,Tania Suharto,635643,30,40,40,40,20,20,10,20,60,46
100100,Intan Rachman Suharto,198295,40,40,10,40,10,10,20,10,20,55
100101,Yoga Pratomo,264764,30,10,40,10,10,20,30,40,50,51
100102,Dinda Permadi,342888,10,20,30,60,10,30,10,30,30,22
100103,Ayu Ginting,310700,40,10,20,30,10,30,20,10,10,32
100104,Budi Pratama,642860,40,40,40,30,30,20,10,40,60,81
100105,Maya Yulianto,653381,20,10,10,40,40,20,10,40,10,16
100106,Valdo Wijaya Wijaya,335938,30,30,10,60,50,30,30,40,10,64
100107,Dian Fauziah,273235,40,20,40,50,30,10,20,40,40,45
100108,Dinda Erlangga Handayani,455098,40,20,30,30,50,30,20,20,60,58
100109,Dinda Wibowo,127614,30,10,20,30,40,30,30,40,40,55
100110,Citra Hartanto,528735,30,20,50,30,50,20,30,30,40,46
